last_name, first_name,player_id,year,player_age,b_ab,b_total_pa,b_total_hits,b_single,b_double,b_triple,b_home_run,b_strikeout,b_walk,b_k_percent,b_bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,b_rbi,r_total_stolen_base,b_game,b_hit_by_pitch,r_run,r_stolen_base_2b,r_stolen_base_3b,r_stolen_base_pct,xba,xslg,woba,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,groundballs_percent,flyballs_percent,linedrives_percent,popups_percent,sprint_speed,
Ramirez, Jose,608070,2017,25,585,645,186,95,56,6,29,69,52,10.7,8.1,.318,.583,.374,.957,83,17,152,3,107,13,4,,.299,.483,.396,.357,.357,.183,88.2,15,35.5,5,40.3,24.4,27.6,7.7,28.0,
Bregman, Alex,608324,2017,23,556,626,158,95,39,5,19,97,55,15.5,8.8,.284,.475,.351,.826,71,17,155,7,88,14,3,,.276,.440,.351,.339,.346,.164,87.6,16.4,34.5,4.7,39.2,25.1,26.6,9.2,27.6,
Gallo, Joey,608336,2017,24,449,532,94,32,18,3,41,196,75,36.8,14.1,.209,.537,.333,.869,80,7,145,8,85,6,1,,.224,.558,.364,.378,.345,.334,93.3,22.9,36.4,22.1,29.2,37.9,22.1,10.7,27.9,
Seager, Corey,608369,2017,23,539,613,159,104,33,0,22,131,67,21.4,10.9,.295,.479,.375,.854,77,4,145,4,85,4,0,,.300,.521,.364,.383,.381,.221,89.7,11.1,40.4,8.5,42.6,22.9,30.7,3.9,26.9,
Mazara, Nomar,608577,2017,22,554,616,140,88,30,2,20,127,55,20.6,8.9,.253,.422,.323,.745,101,2,148,4,64,2,0,,.247,.422,.317,.317,.318,.175,89,11.3,30.5,6.5,46.3,21.6,22.6,9.5,27.0,
Swanson, Dansby,621020,2017,23,488,551,113,82,23,2,6,120,59,21.8,10.7,.232,.324,.312,.636,51,3,144,0,59,3,0,,.242,.340,.276,.293,.325,.098,86.9,8.3,31.2,3,48.1,19.1,28.2,4.6,28.7,
Taylor, Chris,621035,2017,27,514,568,148,88,34,5,21,142,50,25.0,8.8,.288,.496,.354,.850,72,17,140,3,85,12,4,,.267,.446,.361,.338,.335,.179,87,12.1,39.7,8,42.4,23.9,28.2,5.6,29.0,
Buxton, Byron,621439,2017,24,462,511,117,81,14,6,16,150,38,29.4,7.4,.253,.413,.311,.725,51,29,140,4,69,29,0,,.230,.377,.312,.291,.293,.147,88.1,15,32.3,5.6,42.6,22.3,25.7,9.4,30.6,
Margot, Manuel,622534,2017,23,487,529,128,90,18,7,13,106,35,20.0,6.6,.263,.409,.312,.721,39,17,126,2,53,11,6,,.252,.360,.309,.293,.306,.108,85.3,10.4,34.5,2.6,42.7,18.1,29,10.1,29.4,
Puig, Yasiel,624577,2017,27,499,570,131,77,24,2,28,100,64,17.5,11.2,.263,.487,.346,.833,74,15,152,2,72,12,3,,.267,.486,.349,.356,.353,.219,88.5,10.4,27.2,9.4,49,23.5,19.1,8.4,28.1,
Anderson, Tim,641313,2017,24,587,606,151,104,26,4,17,162,13,26.7,2.1,.257,.402,.276,.678,56,15,146,3,72,10,5,,.243,.383,.288,.276,.263,.140,85.6,8,31.8,5.1,53.3,19.4,22.9,4.4,28.8,
Bellinger, Cody,641355,2017,22,480,548,128,59,26,4,39,146,64,26.6,11.7,.267,.581,.352,.933,97,10,132,1,87,8,2,,.253,.534,.380,.362,.341,.282,90.8,17.5,35.3,12.2,37.4,30,23.1,9.5,28.9,
Mancini III, Trey,641820,2017,25,543,586,159,105,26,4,24,139,33,23.7,5.6,.293,.488,.338,.826,78,1,147,6,65,1,0,,.263,.477,.349,.336,.312,.215,88.6,7.1,30.9,10,51.7,18.6,24,5.6,27.6,
Benintendi, Andrew,643217,2017,23,573,658,155,108,26,1,20,112,70,17.0,10.6,.271,.424,.351,.775,90,20,151,6,84,16,4,,.263,.431,.332,.335,.347,.168,87.5,14.7,31.9,5.5,41.5,24,26.6,7.9,28.3,
