last_name, first_name,player_id,year,player_age,p_game,p_formatted_ip,p_total_pa,p_ab,p_total_hits,p_single,p_double,p_triple,p_home_run,p_strikeout,p_walk,p_k_percent,p_bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,p_earned_run,p_run,p_save,p_blown_save,p_win,p_loss,p_era,p_opp_batting_avg,xba,xslg,woba,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,n,n_ff_formatted,ff_avg_speed,ff_avg_spin,n_sl_formatted,sl_avg_speed,sl_avg_spin,n_ch_formatted,ch_avg_speed,ch_avg_spin,n_cukc_formatted,cu_avg_speed,cu_avg_spin,n_sift_formatted,si_avg_speed,si_avg_spin,n_fc_formatted,fc_avg_speed,fc_avg_spin,n_fs_formatted,fs_avg_speed,fs_avg_spin,n_kn_formatted,kn_avg_speed,kn_avg_spin,
Alvarado, Jose,621237,2019,24,35,30.0,146,114,29,22,4,1,2,39,27,26.7,18.5,.254,.360,.384,.743,16,18,7,2,1,6,4.80,.254,.234,.362,.328,.325,.377,.128,89.3,5.4,33.8,5,586,0.9,98,2221,,,,,,,3.8,86.8,2523,78.5,98.1,2180,16.9,92.4,2533,,,,,,,
Diaz, Edwin,621242,2019,25,66,58.0,254,225,58,33,10,0,15,99,22,39.0,8.7,.258,.502,.331,.833,36,36,26,7,2,7,5.59,.258,.188,.342,.344,.263,.270,.155,90.5,17.4,38.8,10.1,1036,66.3,97.5,2372,33.4,89.5,2372,,,,,,,0.3,95.9,2349,,,,,,,,,,
Berrios, Jose,621244,2019,25,32,200.1,842,774,194,130,35,3,26,195,51,23.2,6.1,.251,.404,.302,.706,82,94,0,0,14,8,3.68,.251,.245,.416,.300,.304,.297,.172,87,13.9,34.2,6.5,3132,32.2,93.1,2190,,,,15.9,82.5,1705,28.9,81.2,2334,23.1,92.1,2110,,,,,,,,,,
Underwood Jr., Duane,621249,2019,25,12,11.2,51,47,13,6,4,1,2,13,3,25.5,5.9,.277,.532,.333,.865,7,7,0,0,0,0,5.40,.277,.235,.399,.358,.299,.295,.164,90.8,8.7,26.5,2.9,210,56.2,94.8,2211,,,,24.8,88.3,1700,15.2,82,2353,3.8,92.9,1967,,,,,,,,,,
Wittgren, Nick,621295,2019,28,55,57.2,231,216,47,26,11,0,10,60,15,26.0,6.5,.218,.407,.268,.676,18,22,4,2,5,1,2.81,.218,.250,.457,.285,.319,.302,.207,92.5,16.3,31.4,9.6,967,66.4,92.3,2189,18.8,83.7,2450,14.7,85.6,1891,0.1,78.4,2211,,,,,,,,,,,,,
Minter, A.J.,621345,2019,26,36,29.1,147,121,36,24,9,0,3,35,23,23.8,15.6,.298,.446,.408,.854,23,23,5,2,3,4,7.06,.298,.264,.440,.360,.346,.383,.177,87.9,11.8,38.6,5.7,588,39.1,96,2326,0.2,86.3,2156,16.2,86.1,1696,,,,0.2,94.2,2379,44.4,91.5,2437,,,,,,,
Poche, Colin,621363,2019,25,51,51.2,207,182,33,17,6,1,9,72,19,34.8,9.2,.181,.374,.275,.649,27,27,2,6,5,5,4.70,.181,.169,.331,.278,.260,.266,.163,89.5,30.2,34.2,9,869,88.5,92.9,2291,,,,,,,10,83.9,2493,,,,,,,1.5,83.2,1261,,,,
Strahm, Matt,621381,2019,28,46,114.2,487,453,121,71,27,1,22,118,22,24.2,4.5,.267,.477,.308,.785,60,61,0,1,6,11,4.71,.267,.255,.475,.326,.322,.299,.220,89,15.9,35.6,9.7,1789,37.6,91.4,2308,30.1,86,2461,13.9,84.3,2086,17.5,80.2,2572,1,92.6,2311,,,,,,,,,,
Stumpf, Daniel,621385,2019,28,48,29.0,135,116,35,23,6,1,5,28,15,20.7,11.1,.302,.500,.370,.870,14,18,0,2,1,1,4.34,.302,.250,.452,.362,.329,.329,.202,90.6,16.6,32.6,9.8,510,52,92.2,2377,38,81.3,2259,10,85.9,1629,,,,,,,,,,,,,,,,
Blach, Ty,621389,2019,29,7,27.0,139,122,46,27,10,1,8,20,17,14.4,12.2,.377,.672,.453,1.125,36,37,0,0,1,3,12.00,.377,.321,.560,.463,.407,.404,.239,90.2,15.2,46.1,6.9,520,,,,1.3,81.9,2432,26,79.9,1906,8.7,77.1,2392,56.7,90.2,2136,7.3,84.4,2444,,,,,,,
