last_name, first_name,player_id,year,player_age,b_ab,b_total_pa,b_total_hits,b_single,b_double,b_triple,b_home_run,b_strikeout,b_walk,b_k_percent,b_bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,b_rbi,r_total_stolen_base,b_game,b_hit_by_pitch,r_run,r_stolen_base_2b,r_stolen_base_3b,r_stolen_base_pct,xba,xslg,woba,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,groundballs_percent,flyballs_percent,linedrives_percent,popups_percent,sprint_speed,
Realmuto, J.T.,592663,2021,30,476,537,125,79,25,4,17,129,48,24.0,8.9,.263,.439,.343,.782,73,13,134,11,64,11,1,,.253,.416,.336,.329,.335,.164,89.6,11.5,31.2,8.6,46.7,24.4,23.2,5.7,28.8,
Renfroe, Hunter,592669,2021,29,521,572,135,71,33,0,31,130,44,22.7,7.7,.259,.501,.315,.816,96,1,144,1,89,1,0,,.259,.502,.344,.352,.319,.243,90.1,15.6,32.7,14.4,38.5,27,22.9,11.6,27.3,
Merrifield, Whit,593160,2021,32,664,720,184,129,42,3,10,103,40,14.3,5.6,.277,.395,.317,.711,74,40,162,4,97,23,16,,.263,.383,.306,.301,.306,.120,86.8,13.9,40,3.5,41.7,25.8,26.7,5.8,28.6,
Bogaerts, Xander,593428,2021,29,529,603,156,98,34,1,23,113,62,18.7,10.3,.295,.493,.370,.863,79,5,144,5,90,2,3,,.279,.466,.368,.358,.359,.187,89.6,12.5,36.4,9.7,40.2,23.9,28.8,7.1,27.7,
Polanco, Jorge,593871,2021,28,588,644,158,88,35,2,33,118,45,18.3,7.0,.269,.503,.323,.826,98,11,152,5,97,8,3,,.267,.486,.349,.347,.323,.219,89.4,19.3,36.1,10.1,33,32.8,27.1,7.1,28.0,
Sano, Miguel,593934,2021,28,470,532,105,51,24,0,30,183,59,34.4,11.1,.223,.466,.312,.778,75,2,135,2,68,1,1,,.215,.437,.332,.321,.305,.222,93.4,17.6,32.3,17.7,39.2,29.9,22.6,8.3,26.5,
Duvall, Adam,594807,2021,33,513,555,117,60,17,2,38,174,35,31.4,6.3,.228,.491,.281,.772,113,5,146,4,67,4,1,,.226,.496,.324,.329,.281,.269,89.8,23.6,33.3,16.1,30.7,40.1,17.8,11.4,28.6,
Baez, Javier,595879,2021,29,502,547,133,82,18,2,31,184,28,33.6,5.1,.265,.494,.318,.812,87,18,138,13,80,13,5,,.241,.454,.344,.324,.298,.213,90.1,10.6,32.7,13.4,46.7,24.9,20.6,7.8,28.6,
Lindor, Francisco,596019,2021,28,452,524,104,65,16,3,20,96,58,18.3,11.1,.230,.412,.319,.730,63,10,125,5,73,9,1,,.253,.449,.317,.343,.344,.196,90.7,14.4,35.6,8.2,41.6,29.9,21.9,6.6,27.8,
Story, Trevor,596115,2021,29,526,595,132,69,34,5,24,139,53,23.4,8.9,.251,.471,.329,.801,75,20,142,11,88,19,1,,.243,.443,.341,.332,.324,.200,90.6,17.5,34.2,9.9,36.5,30.9,24.2,8.4,28.7,
Candelario, Jeimer,600869,2021,28,557,626,151,90,42,3,16,135,65,21.6,10.4,.271,.443,.351,.795,67,0,149,4,75,0,0,,.278,.462,.344,.356,.358,.184,88.7,12.6,38.6,9,40.8,25.6,28.9,4.7,27.2,
Bell, Josh,605137,2021,29,498,568,130,78,24,1,27,101,65,17.8,11.4,.261,.476,.347,.823,88,0,144,2,75,0,0,,.276,.485,.352,.365,.362,.208,92.5,4.9,28.5,8.8,54.3,21.3,22,2.5,26.2,
Betts, Mookie,605141,2021,29,466,550,123,68,29,3,23,86,68,15.6,12.4,.264,.487,.367,.854,58,10,122,11,93,7,3,,.262,.443,.365,.356,.368,.181,90.3,18.9,34,7.8,34.8,33,23.6,8.6,27.1,
Tapia, Raimel,606132,2021,27,487,533,133,99,26,2,6,70,40,13.1,7.5,.273,.372,.326,.698,50,20,133,1,69,19,1,,.249,.315,.305,.279,.305,.066,85.7,-4.4,19.9,2.1,68,12.3,16.8,2.8,28.3,
Hernandez, Teoscar,606192,2021,29,550,595,163,102,29,0,32,148,36,24.9,6.1,.296,.524,.346,.870,116,12,143,7,92,11,1,,.282,.530,.369,.367,.333,.249,91.8,13.1,37.4,13.9,39.4,27.5,27.7,5.4,28.5,
